Index,都道府県,森林計画区,森林管理署,森林事務所（担当区）
1,北海道,渡島檜山,檜山,-
2,北海道,渡島檜山,檜山,上の国
3,北海道,渡島檜山,檜山,上磯
4,北海道,渡島檜山,檜山,乙部
5,北海道,渡島檜山,檜山,南館
6,北海道,渡島檜山,檜山,厚沢部
7,北海道,渡島檜山,檜山,吉堀
8,北海道,渡島檜山,檜山,大野
9,北海道,渡島檜山,檜山,奥尻
10,北海道,渡島檜山,檜山,奥湯の岱
11,北海道,渡島檜山,檜山,木古内
12,北海道,渡島檜山,檜山,栄浜
13,北海道,渡島檜山,檜山,湯の岱
14,北海道,渡島檜山,檜山,濁川
15,北海道,渡島檜山,檜山,知内
16,北海道,渡島檜山,檜山,碁盤坂
17,北海道,渡島檜山,檜山,茂辺地
18,北海道,渡島檜山,檜山,鶉町
19,北海道,渡島檜山,渡島,-
20,北海道,渡島檜山,渡島,七飯
21,北海道,渡島檜山,渡島,今金
22,北海道,渡島檜山,渡島,八雲
23,北海道,渡島檜山,渡島,国縫
24,北海道,渡島檜山,渡島,大成
25,北海道,渡島檜山,渡島,大関
26,北海道,渡島檜山,渡島,東瀬棚
27,北海道,渡島檜山,渡島,森
28,北海道,渡島檜山,渡島,瀬棚
29,北海道,渡島檜山,渡島,熊石
30,北海道,渡島檜山,渡島,白石
31,北海道,渡島檜山,渡島,美利河
32,北海道,渡島檜山,渡島,若松
33,北海道,渡島檜山,渡島,落部
34,北海道,渡島檜山,渡島,野田生
35,北海道,渡島檜山,渡島,長万部
36,北海道,渡島檜山,渡島,駒ヶ岳
37,北海道,後志胆振,後志,-
38,北海道,後志胆振,後志,伊達
39,北海道,後志胆振,後志,登別
40,北海道,胆振東部,胆振東部,-
41,北海道,胆振東部,胆振東部,樽前
42,北海道,胆振東部,胆振東部,白老
43,北海道,胆振東部,胆振東部,稲里
44,北海道,胆振東部,胆振東部,穂別
45,北海道,胆振東部,胆振東部,竹浦
46,北海道,胆振東部,胆振東部,糸井
47,北海道,胆振東部,胆振東部,苫小牧
48,北海道,日高,日高北部,-
49,北海道,日高,日高北部,仁世宇
50,北海道,日高,日高北部,千呂露
51,北海道,日高,日高北部,千栄
52,北海道,日高,日高北部,宿主別
53,北海道,日高,日高北部,富岡
54,北海道,日高,日高北部,幌尻
55,北海道,日高,日高北部,振内
56,北海道,日高,日高北部,日勝
57,北海道,日高,日高北部,日高
58,北海道,日高,日高北部,貫気別
59,北海道,日高,日高北部,門別
60,北海道,日高,日高南部,-
61,北海道,日高,日高南部,三石
62,北海道,日高,日高南部,奥新冠
63,北海道,日高,日高南部,奥静内
64,北海道,日高,日高南部,御園東
65,北海道,日高,日高南部,御園西
66,北海道,日高,日高南部,春別
67,北海道,日高,日高南部,東川
68,北海道,日高,日高南部,若園
69,北海道,日高,日高南部,西舎
70,北海道,日高,日高南部,野深
71,北海道,石狩空知,北空知支,-
72,北海道,石狩空知,北空知支,幌加内
73,北海道,石狩空知,北空知支,恵岱別
74,北海道,石狩空知,北空知支,恵比島
75,北海道,石狩空知,北空知支,朱鞠内
76,北海道,石狩空知,北空知支,深川
77,北海道,石狩空知,北空知支,鷹泊
78,北海道,石狩空知,石狩,-
79,北海道,石狩空知,石狩,千歳
80,北海道,石狩空知,石狩,厚田
81,北海道,石狩空知,石狩,定山渓
82,北海道,石狩空知,石狩,小樽
83,北海道,石狩空知,石狩,小樽内
84,北海道,石狩空知,石狩,当別
85,北海道,石狩空知,石狩,恵庭
86,北海道,石狩空知,石狩,支笏
87,北海道,石狩空知,石狩,札幌
88,北海道,石狩空知,石狩,毘砂別
89,北海道,石狩空知,石狩,浜益
90,北海道,石狩空知,石狩,白井川
91,北海道,石狩空知,石狩,簾舞
92,北海道,石狩空知,石狩,西定山渓
93,北海道,石狩空知,石狩,野幌
94,北海道,石狩空知,空知,-
95,北海道,石狩空知,空知,万字
96,北海道,石狩空知,空知,前主夕張
97,北海道,石狩空知,空知,南部
98,北海道,石狩空知,空知,咲別
99,北海道,石狩空知,空知,夕張
100,北海道,石狩空知,空知,夕張岳
101,北海道,石狩空知,空知,奥主夕張
102,北海道,石狩空知,空知,岩見沢
103,北海道,石狩空知,空知,幌子
104,北海道,石狩空知,空知,平岸
105,北海道,石狩空知,空知,幾春別
106,北海道,石狩空知,空知,惣芦別
107,北海道,石狩空知,空知,桂沢
108,北海道,石狩空知,空知,沼の沢
109,北海道,石狩空知,空知,由仁
110,北海道,石狩空知,空知,紅葉山
111,北海道,石狩空知,空知,継立
112,北海道,石狩空知,空知,落辺
113,北海道,石狩空知,空知,西芦別
114,北海道,石狩空知,空知,辺渓
115,北海道,石狩空知,空知,野花南
116,北海道,石狩空知,空知,頼城
117,北海道,上川南部,上川中部,-
118,北海道,上川南部,上川中部,上川
119,北海道,上川南部,上川中部,中越
120,北海道,上川南部,上川中部,大函
121,北海道,上川南部,上川中部,層雲峡
122,北海道,上川南部,上川中部,志比内
123,北海道,上川南部,上川中部,愛別
124,北海道,上川南部,上川中部,旭川
125,北海道,上川南部,上川中部,朗根内
126,北海道,上川南部,上川中部,清川
127,北海道,上川南部,上川中部,石狩
128,北海道,上川南部,上川中部,神居古潭
129,北海道,上川南部,上川中部,美瑛
130,北海道,上川南部,上川中部,茅刈別
131,北海道,上川南部,上川中部,西神楽
132,北海道,上川南部,上川南部,-
133,北海道,上川南部,上川南部,トマム
134,北海道,上川南部,上川南部,上富良野
135,北海道,上川南部,上川南部,仁々宇
136,北海道,上川南部,上川南部,占冠
137,北海道,上川南部,上川南部,双珠別
138,北海道,上川南部,上川南部,奥落合
139,北海道,上川南部,上川南部,富良野
140,北海道,上川南部,上川南部,山部
